# radius_AU intensity_Jy_per_sr
0.000000000000000000e+00 1.746180670271986048e-05
1.051051051051051094e-01 1.774941200808116459e-05
2.102102102102102188e-01 1.803864039619109229e-05
3.153153153153153143e-01 1.832941766269859902e-05
4.204204204204204376e-01 1.862166759218681324e-05
5.255255255255255609e-01 1.891531197879563924e-05
6.306306306306306286e-01 1.921027064890628200e-05
7.357357357357358074e-01 1.950646148589689298e-05
8.408408408408408752e-01 1.980380045697611991e-05
9.459459459459459429e-01 2.010220164209902940e-05
1.051051051051051122e+00 2.040157726496726604e-05
1.156156156156156189e+00 2.070183772611291584e-05
1.261261261261261257e+00 2.100289163806289607e-05
1.366366366366366325e+00 2.130464586257828108e-05
1.471471471471471615e+00 2.160700554996012422e-05
1.576576576576576683e+00 2.190987418041091686e-05
1.681681681681681750e+00 2.221315360743806103e-05
1.786786786786786818e+00 2.251674410328307198e-05
1.891891891891891886e+00 2.282054440635748667e-05
1.996996996996997176e+00 2.312445177066390571e-05
2.102102102102102243e+00 2.342836201717762512e-05
2.207207207207207311e+00 2.373216958716193944e-05
2.312312312312312379e+00 2.403576759738705636e-05
2.417417417417417447e+00 2.433904789722027666e-05
2.522522522522522515e+00 2.464190112755214847e-05
2.627627627627627582e+00 2.494421678152063533e-05
2.732732732732732650e+00 2.524588326699274553e-05
2.837837837837838162e+00 2.554678797076038668e-05
2.942942942942943230e+00 2.584681732440461088e-05
3.048048048048048297e+00 2.614585687177973933e-05
3.153153153153153365e+00 2.644379133806651718e-05
3.258258258258258433e+00 2.674050470034061708e-05
3.363363363363363501e+00 2.703588025960073637e-05
3.468468468468468568e+00 2.732980071419770373e-05
3.573573573573573636e+00 2.762214823460404931e-05
3.678678678678678704e+00 2.791280453946083279e-05
3.783783783783783772e+00 2.820165097283654514e-05
3.888888888888888840e+00 2.848856858263056863e-05
3.993993993993994351e+00 2.877343820005169798e-05
4.099099099099099419e+00 2.905614052009999220e-05
4.204204204204204487e+00 2.933655618297855019e-05
4.309309309309309555e+00 2.961456585635970863e-05
4.414414414414414622e+00 2.989005031842844018e-05
4.519519519519519690e+00 3.016289054162412010e-05
