# radius_AU intensity_Jy_per_sr
0.000000000000000000e+00 1.169104815006348435e-08
1.051051051051051094e-01 1.228040799180586528e-08
2.102102102102102188e-01 1.289725177873204210e-08
3.153153153153153143e-01 1.354274174995748008e-08
4.204204204204204376e-01 1.421808321463234730e-08
5.255255255255255609e-01 1.492452585467048164e-08
6.306306306306306286e-01 1.566336505331640937e-08
7.357357357357358074e-01 1.643594324942971688e-08
8.408408408408408752e-01 1.724365131732690112e-08
9.459459459459459429e-01 1.808792997198262545e-08
1.051051051051051122e+00 1.897027119934976413e-08
1.156156156156156189e+00 1.989221971151607063e-08
1.261261261261261257e+00 2.085537442636946314e-08
1.366366366366366325e+00 2.186138997139860401e-08
1.471471471471471615e+00 2.291197821120642121e-08
1.576576576576576683e+00 2.400890979826581699e-08
1.681681681681681750e+00 2.515401574639326986e-08
1.786786786786786818e+00 2.634918902636495324e-08
1.891891891891891886e+00 2.759638618304305397e-08
1.996996996996997176e+00 2.889762897332484066e-08
2.102102102102102243e+00 3.025500602416680673e-08
2.207207207207207311e+00 3.167067450987784343e-08
2.312312312312312379e+00 3.314686184781172554e-08
2.417417417417417447e+00 3.468586741152693169e-08
2.522522522522522515e+00 3.629006426041539920e-08
2.627627627627627582e+00 3.796190088473595929e-08
2.732732732732732650e+00 3.970390296491847767e-08
2.837837837837838162e+00 4.151867514393569500e-08
2.942942942942943230e+00 4.340890281146683814e-08
3.048048048048048297e+00 4.537735389850566375e-08
3.153153153153153365e+00 4.742688068098826456e-08
3.258258258258258433e+00 4.956042159094334222e-08
3.363363363363363501e+00 5.178100303358639480e-08
3.468468468468468568e+00 5.409174120870474166e-08
3.573573573573573636e+00 5.649584393459596223e-08
3.678678678678678704e+00 5.899661247274597976e-08
3.783783783783783772e+00 6.159744335134591598e-08
3.888888888888888840e+00 6.430183018566890181e-08
3.993993993993994351e+00 6.711336549323910465e-08
4.099099099099099419e+00 7.003574250164465830e-08
4.204204204204204487e+00 7.307275694675771972e-08
4.309309309309309555e+00 7.622830885904018685e-08
4.414414414414414622e+00 7.950640433552606284e-08
4.519519519519519690e+00 8.291115729498655022e-08
4.624624624624624758e+00 8.644679121369397444e-08
4.729729729729729826e+00 9.011764083911498029e-08
4.834834834834834894e+00 9.392815387877552502e-08
4.939939939939939961e+00 9.788289266145374174e-08
5.045045045045045029e+00 1.019865357677695026e-07
5.150150150150150097e+00 1.062438796271514853e-07
5.255255255255255165e+00 1.106598400780793530e-07
5.360360360360360232e+00 1.152394538884120479e-07
5.465465465465465300e+00 1.199878802325297779e-07
5.570570570570570368e+00 1.249104021219320080e-07
5.675675675675676324e+00 1.300124277858550929e-07
5.780780780780781392e+00 1.352994919983919716e-07
5.885885885885886459e+00 1.407772573485158054e-07
5.990990990990991527e+00 1.464515154493333837e-07
6.096096096096096595e+00 1.523281880828235496e-07
6.201201201201201663e+00 1.584133282762331431e-07
6.306306306306306730e+00 1.647131213062479015e-07
6.411411411411411798e+00 1.712338856269697009e-07
6.516516516516516866e+00 1.779820737176871106e-07
6.621621621621621934e+00 1.849642728463450987e-07
6.726726726726727001e+00 1.921872057445796816e-07
6.831831831831832069e+00 1.996577311901107254e-07
6.936936936936937137e+00 2.073828444922539267e-07
7.042042042042042205e+00 2.153696778762470823e-07
7.147147147147147273e+00 2.236255007620607522e-07
7.252252252252252340e+00 2.321577199333089371e-07
7.357357357357357408e+00 2.409738795918563397e-07
7.462462462462462476e+00 2.500816612936781979e-07
7.567567567567567544e+00 2.594888837615132989e-07
7.672672672672672611e+00 2.692035025698265390e-07
7.777777777777777679e+00 2.792336096975929446e-07
7.882882882882883635e+00 2.895874329443939745e-07
7.987987987987988703e+00 3.002733352053369883e-07
8.093093093093093771e+00 3.112998136002919303e-07
8.198198198198198838e+00 3.226754984529696116e-07
8.303303303303303906e+00 3.344091521153751344e-07
8.408408408408408974e+00 3.465096676331973161e-07
8.513513513513514042e+00 3.589860672477297019e-07
8.618618618618619109e+00 3.718475007299599923e-07
8.723723723723724177e+00 3.851032435425123063e-07
8.828828828828829245e+00 3.987626948251758282e-07
8.933933933933934313e+00 4.128353751998303066e-07
9.039039039039039380e+00 4.273309243906394910e-07
9.144144144144144448e+00 4.422590986554724771e-07
9.249249249249249516e+00 4.576297680245923918e-07
9.354354354354354584e+00 4.734529133427568318e-07
9.459459459459459651e+00 4.897386231109852161e-07
9.564564564564564719e+00 5.064970901243483224e-07
9.669669669669669787e+00 5.237386079022765744e-07
9.774774774774774855e+00 5.414735669080022291e-07
9.879879879879879923e+00 5.597124505539134576e-07
9.984984984984984990e+00 5.784658309897306608e-07
1.009009009009009006e+01 5.977443646705856139e-07
1.019519519519519513e+01 6.175587877022620194e-07
1.030030030030030019e+01 6.379199109610280989e-07
1.040540540540540526e+01 6.588386149856913312e-07
1.051051051051051033e+01 6.803258446396923214e-07
1.061561561561561540e+01 7.023926035412830618e-07
1.072072072072072046e+01 7.250499482600452234e-07
1.082582582582582553e+01 7.483089822782356804e-07
1.093093093093093060e+01 7.721808497156783394e-07
1.103603603603603567e+01 7.966767288171878474e-07
1.114114114114114074e+01 8.218078252017530007e-07
1.124624624624624758e+01 8.475853648729875184e-07
1.135135135135135265e+01 8.740205869906152446e-07
1.145645645645645772e+01 9.011247364030668609e-07
1.156156156156156278e+01 9.289090559415474620e-07
1.166666666666666785e+01 9.573847784762300686e-07
1.177177177177177292e+01 9.865631187355562604e-07
1.187687687687687799e+01 1.016455264889946664e-06
1.198198198198198305e+01 1.047072369901546647e-06
1.208708708708708812e+01 1.078425542641955502e-06
1.219219219219219319e+01 1.110525838780263374e-06
1.229729729729729826e+01 1.143384251444049479e-06
1.240240240240240333e+01 1.177011701656356625e-06
1.250750750750750839e+01 1.211419028552019364e-06
1.261261261261261346e+01 1.246616979377101743e-06
1.271771771771771853e+01 1.282616199275575191e-06
1.282282282282282360e+01 1.319427220867750398e-06
1.292792792792792866e+01 1.357060453625343361e-06
1.303303303303303373e+01 1.395526173048478228e-06
1.313813813813813880e+01 1.434834509650310752e-06
1.324324324324324387e+01 1.474995437755349814e-06
1.334834834834834894e+01 1.516018764117951940e-06
1.345345345345345400e+01 1.557914116367883251e-06
1.355855855855855907e+01 1.600690931290240932e-06
1.366366366366366414e+01 1.644358442947434623e-06
1.376876876876876921e+01 1.688925670651307336e-06
1.387387387387387427e+01 1.734401406793942918e-06
1.397897897897897934e+01 1.780794204546047098e-06
1.408408408408408441e+01 1.828112365432244916e-06
1.418918918918918948e+01 1.876363926792999606e-06
1.429429429429429455e+01 1.925556649143288764e-06
1.439939939939939961e+01 1.975698003438554324e-06
1.450450450450450468e+01 2.026795158258836569e-06
1.460960960960960975e+01 2.078854966922393917e-06
1.471471471471471482e+01 2.131883954540482723e-06
1.481981981981981988e+01 2.185888305025363912e-06
1.492492492492492495e+01 2.240873848063943798e-06
1.503003003003003002e+01 2.296846046069851558e-06
1.513513513513513509e+01 2.353809981127066710e-06
1.524024024024024015e+01 2.411770341938597019e-06
1.534534534534534522e+01 2.470731410793989761e-06
1.545045045045045029e+01 2.530697050569828566e-06
1.555555555555555536e+01 2.591670691777633193e-06
1.566066066066066043e+01 2.653655319673912033e-06
1.576576576576576727e+01 2.716653461447376358e-06
1.587087087087087234e+01 2.780667173498595508e-06
1.597597597597597741e+01 2.845698028827651316e-06
1.608108108108108070e+01 2.911747104545549133e-06
1.618618618618618754e+01 2.978814969525396487e-06
1.629129129129129083e+01 3.046901672209539993e-06
1.639639639639639768e+01 3.116006728589087860e-06
1.650150150150150097e+01 3.186129110372313554e-06
1.660660660660660781e+01 3.257267233358725830e-06
1.671171171171171110e+01 3.329418946035566655e-06
1.681681681681681795e+01 3.402581518413757297e-06
1.692192192192192124e+01 3.476751631120250608e-06
1.702702702702702808e+01 3.551925364763966048e-06
1.713213213213213137e+01 3.628098189592368823e-06
1.723723723723723822e+01 3.705264955455948043e-06
1.734234234234234151e+01 3.783419882097643816e-06
1.744744744744744835e+01 3.862556549784475237e-06
1.755255255255255165e+01 3.942667890298328977e-06
1.765765765765765849e+01 4.023746178303025740e-06
1.776276276276276178e+01 4.105783023104455756e-06
1.786786786786786863e+01 4.188769360820665077e-06
1.797297297297297547e+01 4.272695446978408156e-06
1.807807807807807876e+01 4.357550849552687631e-06
