# radius_AU intensity_Jy_per_sr
0.000000000000000000e+00 1.243415878630843097e-04
1.051051051051051094e-01 1.243308569835297915e-04
2.102102102102102188e-01 1.242986699010997700e-04
3.153153153153153143e-01 1.242450432797004756e-04
4.204204204204204376e-01 1.241700048765327158e-04
5.255255255255255609e-01 1.240735935181481650e-04
6.306306306306306286e-01 1.239558590669682795e-04
7.357357357357358074e-01 1.238168623783068216e-04
8.408408408408408752e-01 1.236566752479474379e-04
9.459459459459459429e-01 1.234753803503396360e-04
1.051051051051051122e+00 1.232730711674878612e-04
1.156156156156156189e+00 1.230498519086189459e-04
1.261261261261261257e+00 1.228058374207247516e-04
1.366366366366366325e+00 1.225411530900875814e-04
1.471471471471471615e+00 1.222559347349063807e-04
1.576576576576576683e+00 1.219503284891525961e-04
1.681681681681681750e+00 1.216244906777945651e-04
1.786786786786786818e+00 1.212785876835399343e-04
1.891891891891891886e+00 1.209127958052544415e-04
1.996996996996997176e+00 1.205273011082266295e-04
2.102102102102102243e+00 1.201222992664555697e-04
2.207207207207207311e+00 1.196979953971494471e-04
2.312312312312312379e+00 1.192546038876304604e-04
2.417417417417417447e+00 1.187923482148507768e-04
2.522522522522522515e+00 1.183114607577319893e-04
2.627627627627627582e+00 1.178121826025487666e-04
2.732732732732732650e+00 1.172947633415847581e-04
2.837837837837838162e+00 1.167594608652959158e-04
2.942942942942943230e+00 1.162065411482234999e-04
3.048048048048048297e+00 1.156362780289055644e-04
3.153153153153153365e+00 1.150489529840412493e-04
3.258258258258258433e+00 1.144448548971688478e-04
3.363363363363363501e+00 1.138242798221231954e-04
3.468468468468468568e+00 1.131875307415434730e-04
3.573573573573573636e+00 1.125349173207064728e-04
3.678678678678678704e+00 1.118667556569651452e-04
3.783783783783783772e+00 1.111833680250757286e-04
3.888888888888888840e+00 1.104850826186998963e-04
3.993993993993994351e+00 1.097722332883717530e-04
4.099099099099099419e+00 1.090451592762215898e-04
4.204204204204204487e+00 1.083042049477506770e-04
4.309309309309309555e+00 1.075497195209530011e-04
4.414414414414414622e+00 1.067820567930808669e-04
4.519519519519519690e+00 1.060015748653526306e-04
4.624624624624624758e+00 1.052086358659007586e-04
4.729729729729729826e+00 1.044036056712587077e-04
4.834834834834834894e+00 1.035868536266845095e-04
4.939939939939939961e+00 1.027587522656185257e-04
5.045045045045045029e+00 1.019196770285711834e-04
5.150150150150150097e+00 1.010700059817351061e-04
5.255255255255255165e+00 1.002101195356140640e-04
5.360360360360360232e+00 9.934040016395888871e-05
5.465465465465465300e+00 9.846123212329743551e-05
5.570570570570570368e+00 9.757300117334276356e-05
5.675675675675676324e+00 9.667609429856027369e-05
5.780780780780781392e+00 9.577089943117049248e-05
5.885885885885886459e+00 9.485780517585997633e-05
5.990990990990991527e+00 9.393720053646863470e-05
6.096096096096096595e+00 9.300947464491639163e-05
6.201201201201201663e+00 9.207501649262738830e-05
6.306306306306306730e+00 9.113421466470406106e-05
6.411411411411411798e+00 9.018745707709798149e-05
6.516516516516516866e+00 8.923513071701804267e-05
6.621621621621621934e+00 8.827762138681034224e-05
6.726726726726727001e+00 8.731531345153768851e-05
6.831831831831832069e+00 8.634858959047933763e-05
6.936936936936937137e+00 8.537783055276513254e-05
7.042042042042042205e+00 8.440341491735051625e-05
7.147147147147147273e+00 8.342571885753147926e-05
7.252252252252252340e+00 8.244511591019089728e-05
7.357357357357357408e+00 8.146197674995999131e-05
7.462462462462462476e+00 8.047666896847013027e-05
7.567567567567567544e+00 7.948955685886277035e-05
7.672672672672672611e+00 7.850100120571636652e-05
7.777777777777777679e+00 7.751135908054098745e-05
7.882882882882883635e+00 7.652098364298297610e-05
7.987987987987988703e+00 7.553022394787298557e-05
8.093093093093093771e+00 7.453942475824239895e-05
8.198198198198198838e+00 7.354892636442426457e-05
8.303303303303303906e+00 7.255906440934592016e-05
8.408408408408408974e+00 7.157016972011211739e-05
8.513513513513514042e+00 7.058256814596793071e-05
8.618618618618619109e+00 6.959658040272242703e-05
8.723723723723724177e+00 6.861252192370515489e-05
8.828828828828829245e+00 6.763070271731830979e-05
8.933933933933934313e+00 6.665142723123927367e-05
9.039039039039039380e+00 6.567499422331850940e-05
9.144144144144144448e+00 6.470169663921068954e-05
9.249249249249249516e+00 6.373182149676634065e-05
9.354354354354354584e+00 6.276564977720438621e-05
9.459459459459459651e+00 6.180345632307710760e-05
9.564564564564564719e+00 6.084550974302984088e-05
9.669669669669669787e+00 5.989207232335113333e-05
9.774774774774774855e+00 5.894339994629954990e-05
9.879879879879879923e+00 5.799974201518627879e-05
9.984984984984984990e+00 5.706134138618466960e-05
1.009009009009009006e+01 5.612843430683001018e-05
1.019519519519519513e+01 5.520125036116580857e-05
1.030030030030030019e+01 5.428001242148535117e-05
1.040540540540540526e+01 5.336493660661017336e-05
1.051051051051051033e+01 5.245623224664047171e-05
1.061561561561561540e+01 5.155410185410550059e-05
1.072072072072072046e+01 5.065874110143584326e-05
