# radius_AU intensity_Jy_per_sr
0.000000000000000000e+00 5.185242852934891208e-05
1.051051051051051094e-01 5.227544731173839368e-05
2.102102102102102188e-01 5.269282100741595862e-05
3.153153153153153143e-01 5.310435989627792543e-05
4.204204204204204376e-01 5.350987579309906525e-05
5.255255255255255609e-01 5.390918218994045658e-05
6.306306306306306286e-01 5.430209439820418146e-05
7.357357357357358074e-01 5.468842969018449781e-05
8.408408408408408752e-01 5.506800743996460097e-05
9.459459459459459429e-01 5.544064926350776871e-05
1.051051051051051122e+00 5.580617915779164371e-05
1.156156156156156189e+00 5.616442363883431904e-05
1.261261261261261257e+00 5.651521187846153624e-05
1.366366366366366325e+00 5.685837583966435276e-05
1.471471471471471615e+00 5.719375041039778088e-05
1.576576576576576683e+00 5.752117353567170663e-05
1.681681681681681750e+00 5.784048634778646769e-05
1.786786786786786818e+00 5.815153329456681109e-05
1.891891891891891886e+00 5.845416226544982867e-05
1.996996996996997176e+00 5.874822471528384348e-05
2.102102102102102243e+00 5.903357578569749076e-05
2.207207207207207311e+00 5.931007442390028332e-05
2.312312312312312379e+00 5.957758349877856677e-05
2.417417417417417447e+00 5.983596991415304035e-05
2.522522522522522515e+00 6.008510471906706123e-05
2.627627627627627582e+00 6.032486321497799997e-05
2.732732732732732650e+00 6.055512505972678072e-05
2.837837837837838162e+00 6.077577436816452119e-05
2.942942942942943230e+00 6.098669980931829772e-05
3.048048048048048297e+00 6.118779469998230248e-05
3.153153153153153365e+00 6.137895709462399402e-05
3.258258258258258433e+00 6.156008987149944338e-05
3.363363363363363501e+00 6.173110081487583869e-05
3.468468468468468568e+00 6.189190269326394966e-05
3.573573573573573636e+00 6.204241333356743239e-05
3.678678678678678704e+00 6.218255569106086969e-05
3.783783783783783772e+00 6.231225791511314457e-05
3.888888888888888840e+00 6.243145341057754216e-05
3.993993993993994351e+00 6.254008089477528821e-05
4.099099099099099419e+00 6.263808445000419213e-05
4.204204204204204487e+00 6.272541357150947022e-05
4.309309309309309555e+00 6.280202321085900192e-05
4.414414414414414622e+00 6.286787381467104493e-05
4.519519519519519690e+00 6.292293135864772088e-05
4.624624624624624758e+00 6.296716737687326154e-05
4.729729729729729826e+00 6.300055898634172489e-05
4.834834834834834894e+00 6.302308890668447371e-05
4.939939939939939961e+00 6.303474547507398459e-05
