# radius_AU intensity_Jy_per_sr
0.000000000000000000e+00 2.614123557393908815e-14
1.051051051051051094e-01 2.837592381596603661e-14
2.102102102102102188e-01 3.079632855194026206e-14
3.153153153153153143e-01 3.341741985927520585e-14
4.204204204204204376e-01 3.625533499325094359e-14
5.255255255255255609e-01 3.932746611215862474e-14
6.306306306306306286e-01 4.265255433172565457e-14
7.357357357357358074e-01 4.625079054480306936e-14
8.408408408408408752e-01 5.014392347077120017e-14
9.459459459459459429e-01 5.435537542932088795e-14
1.051051051051051122e+00 5.891036636532555764e-14
1.156156156156156189e+00 6.383604668551470040e-14
1.261261261261261257e+00 6.916163950372101619e-14
1.366366366366366325e+00 7.491859292968292554e-14
1.471471471471471615e+00 8.114074307691351605e-14
1.576576576576576683e+00 8.786448850806309276e-14
1.681681681681681750e+00 9.512897688169559857e-14
1.786786786786786818e+00 1.029763046125467093e-13
1.891891891891891886e+00 1.114517304083417420e-13
1.996996996996997176e+00 1.206039036002324704e-13
2.102102102102102243e+00 1.304851082410396476e-13
2.207207207207207311e+00 1.411515240059253300e-13
2.312312312312312379e+00 1.526635049940481483e-13
2.417417417417417447e+00 1.650858775973620152e-13
2.522522522522522515e+00 1.784882586741676260e-13
2.627627627627627582e+00 1.929453953405636000e-13
2.732732732732732650e+00 2.085375277727306664e-13
2.837837837837838162e+00 2.253507764972817898e-13
2.942942942942943230e+00 2.434775557359272840e-13
3.048048048048048297e+00 2.630170144646567628e-13
3.153153153153153365e+00 2.840755069468445020e-13
3.258258258258258433e+00 3.067670946043169763e-13
3.363363363363363501e+00 3.312140812008375750e-13
3.468468468468468568e+00 3.575475834288540589e-13
3.573573573573573636e+00 3.859081391131036773e-13
3.678678678678678704e+00 4.164463553740416559e-13
3.783783783783783772e+00 4.493235992303727667e-13
3.888888888888888840e+00 4.847127332635106101e-13
3.993993993993994351e+00 5.227988991180592887e-13
4.099099099099099419e+00 5.637803517715875682e-13
4.204204204204204487e+00 6.078693476745197822e-13
4.309309309309309555e+00 6.552930900372711047e-13
4.414414414414414622e+00 7.062947347272244697e-13
4.519519519519519690e+00 7.611344604331969090e-13
4.624624624624624758e+00 8.200906069600133251e-13
4.729729729729729826e+00 8.834608857313669451e-13
4.834834834834834894e+00 9.515636668055406512e-13
4.939939939939939961e+00 1.024739346946311269e-12
5.045045045045045029e+00 1.103351803541272049e-12
5.150150150150150097e+00 1.187789939421725442e-12
5.255255255255255165e+00 1.278469323913594916e-12
5.360360360360360232e+00 1.375833935737435085e-12
5.465465465465465300e+00 1.480358013678183506e-12
5.570570570570570368e+00 1.592548021262942775e-12
5.675675675675676324e+00 1.712944732017590362e-12
5.780780780780781392e+00 1.842125442221712271e-12
5.885885885885886459e+00 1.980706318446626708e-12
5.990990990990991527e+00 2.129344887543535516e-12
6.096096096096096595e+00 2.288742677149280722e-12
6.201201201201201663e+00 2.459648015196344234e-12
6.306306306306306730e+00 2.642858997351772926e-12
6.411411411411411798e+00 2.839226631768463806e-12
6.516516516516516866e+00 3.049658171011460607e-12
6.621621621621621934e+00 3.275120641523117559e-12
6.726726726726727001e+00 3.516644581514244086e-12
6.831831831831832069e+00 3.775327998715429591e-12
6.936936936936937137e+00 4.052340559993516727e-12
7.042042042042042205e+00 4.348928025434604046e-12
7.147147147147147273e+00 4.666416940116256835e-12
7.252252252252252340e+00 5.006219597441041064e-12
7.357357357357357408e+00 5.369839288579496206e-12
7.462462462462462476e+00 5.758875853276406084e-12
7.567567567567567544e+00 6.175031548008391705e-12
7.672672672672672611e+00 6.620117248247125417e-12
7.777777777777777679e+00 7.096059002378905794e-12
7.882882882882883635e+00 7.604904955662031167e-12
7.987987987987988703e+00 8.148832663465762492e-12
8.093093093093093771e+00 8.730156813933473113e-12
8.198198198198198838e+00 9.351337381147274426e-12
8.303303303303303906e+00 1.001498823084028863e-11
8.408408408408408974e+00 1.072388620171342274e-11
8.513513513513514042e+00 1.148098068646008676e-11
8.618618618618619109e+00 1.228940373769022959e-11
8.723723723723724177e+00 1.315248072507475577e-11
8.828828828828829245e+00 1.407374157120157397e-11
8.933933933933934313e+00 1.505693259484968354e-11
9.039039039039039380e+00 1.610602899164813347e-11
9.144144144144144448e+00 1.722524798338885458e-11
9.249249249249249516e+00 1.841906266861656523e-11
9.354354354354354584e+00 1.969221660851684094e-11
9.459459459459459651e+00 2.104973918357166542e-11
9.564564564564564719e+00 2.249696175795164734e-11
9.669669669669669787e+00 2.403953469016054903e-11
9.774774774774774855e+00 2.568344523005130408e-11
9.879879879879879923e+00 2.743503634398789309e-11
9.984984984984984990e+00 2.930102651163264055e-11
1.009009009009009006e+01 3.128853053960526965e-11
1.019519519519519513e+01 3.340508143907945179e-11
1.030030030030030019e+01 3.565865341625614202e-11
1.040540540540540526e+01 3.805768602659322105e-11
1.051051051051051033e+01 4.061110954565656988e-11
1.061561561561561540e+01 4.332837161151545677e-11
1.072072072072072046e+01 4.621946519571822680e-11
1.082582582582582553e+01 4.929495796205007579e-11
1.093093093093093060e+01 5.256602307451940642e-11
1.103603603603603567e+01 5.604447151830753679e-11
1.114114114114114074e+01 5.974278599977795153e-11
1.124624624624624758e+01 6.367415649406702461e-11
1.135135135135135265e+01 6.785251751125252513e-11
1.145645645645645772e+01 7.229258715465292225e-11
1.156156156156156278e+01 7.700990804741966608e-11
1.166666666666666785e+01 8.202089020625133509e-11
1.177177177177177292e+01 8.734285594380545903e-11
1.187687687687687799e+01 9.299408688417875942e-11
1.198198198198198305e+01 9.899387317868613930e-11
1.208708708708708812e+01 1.053625650120988342e-10
1.219219219219219319e+01 1.121216264924849494e-10
1.229729729729729826e+01 1.192936920208359247e-10
1.240240240240240333e+01 1.269026252397838971e-10
1.250750750750750839e+01 1.349735806638545491e-10
1.261261261261261346e+01 1.435330680969427063e-10
