# radius_AU intensity_Jy_per_sr
0.000000000000000000e+00 3.697168081752395405e-11
1.051051051051051094e-01 3.947851585891189863e-11
2.102102102102102188e-01 4.214804900025395995e-11
3.153153153153153143e-01 4.499032921399483023e-11
4.204204204204204376e-01 4.801599159497130953e-11
5.255255255255255609e-01 5.123628929677316437e-11
6.306306306306306286e-01 5.466312706755701418e-11
7.357357357357358074e-01 5.830909645698620305e-11
8.408408408408408752e-01 6.218751276870252882e-11
9.459459459459459429e-01 6.631245383553370447e-11
1.051051051051051122e+00 7.069880069752737097e-11
1.156156156156156189e+00 7.536228026585731891e-11
1.261261261261261257e+00 8.031951005869357146e-11
1.366366366366366325e+00 8.558804509823136932e-11
1.471471471471471615e+00 9.118642706128442492e-11
1.576576576576576683e+00 9.713423577910906321e-11
1.681681681681681750e+00 1.034521431854946756e-10
1.786786786786786818e+00 1.101619698155699080e-10
1.891891891891891886e+00 1.172867439613025238e-10
1.996996996996997176e+00 1.248507635932452450e-10
2.102102102102102243e+00 1.328796611617640503e-10
2.207207207207207311e+00 1.414004713947011892e-10
2.312312312312312379e+00 1.504417022122744361e-10
2.417417417417417447e+00 1.600334088838764167e-10
2.522522522522522515e+00 1.702072715554338234e-10
2.627627627627627582e+00 1.809966762799871850e-10
2.732732732732732650e+00 1.924367996882885902e-10
2.837837837837838162e+00 2.045646974403628142e-10
2.942942942942943230e+00 2.174193966032367363e-10
3.048048048048048297e+00 2.310419921043079121e-10
3.153153153153153365e+00 2.454757474142175894e-10
3.258258258258258433e+00 2.607661996174697039e-10
3.363363363363363501e+00 2.769612690335369732e-10
3.468468468468468568e+00 2.941113735556705355e-10
3.573573573573573636e+00 3.122695478792211055e-10
3.678678678678678704e+00 3.314915677958386264e-10
3.783783783783783772e+00 3.518360797345988507e-10
3.888888888888888840e+00 3.733647357356917907e-10
3.993993993993994351e+00 3.961423340470679774e-10
4.099099099099099419e+00 4.202369655390668459e-10
4.204204204204204487e+00 4.457201661368330881e-10
4.309309309309309555e+00 4.726670754749620212e-10
4.414414414414414622e+00 5.011566019835991743e-10
4.519519519519519690e+00 5.312715946198831479e-10
4.624624624624624758e+00 5.630990214632994890e-10
4.729729729729729826e+00 5.967301553981804835e-10
4.834834834834834894e+00 6.322607671112074342e-10
4.939939939939939961e+00 6.697913256363019949e-10
5.045045045045045029e+00 7.094272066838894616e-10
5.150150150150150097e+00 7.512789089958611755e-10
5.255255255255255165e+00 7.954622789719911888e-10
5.360360360360360232e+00 8.420987438178681326e-10
5.465465465465465300e+00 8.913155534684845348e-10
5.570570570570570368e+00 9.432460315457839685e-10
5.675675675675676324e+00 9.980298356123445452e-10
5.780780780780781392e+00 1.055813226987172062e-09
5.885885885885886459e+00 1.116749350393258925e-09
5.990990990990991527e+00 1.180998523709930875e-09
6.096096096096096595e+00 1.248728538106383192e-09
6.201201201201201663e+00 1.320114968835857352e-09
6.306306306306306730e+00 1.395341496972662602e-09
6.411411411411411798e+00 1.474600242377043169e-09
6.516516516516516866e+00 1.558092108175081405e-09
6.621621621621621934e+00 1.646027137043074600e-09
6.726726726726727001e+00 1.738624879587452318e-09
6.831831831831832069e+00 1.836114775112958185e-09
6.936936936936937137e+00 1.938736545072833338e-09
7.042042042042042205e+00 2.046740599495701162e-09
7.147147147147147273e+00 2.160388456684091818e-09
7.252252252252252340e+00 2.279953176479754099e-09
7.357357357357357408e+00 2.405719807390382503e-09
7.462462462462462476e+00 2.537985847871807553e-09
7.567567567567567544e+00 2.677061722058018816e-09
7.672672672672672611e+00 2.823271270230074066e-09
7.777777777777777679e+00 2.976952254312248081e-09
7.882882882882883635e+00 3.138456878681453935e-09
7.987987987987988703e+00 3.308152326572029781e-09
8.093093093093093771e+00 3.486421312354423912e-09
8.198198198198198838e+00 3.673662649961848286e-09
8.303303303303303906e+00 3.870291837733199842e-09
8.408408408408408974e+00 4.076741659935342681e-09
8.513513513513514042e+00 4.293462805220897097e-09
8.618618618618619109e+00 4.520924502270563968e-09
8.723723723723724177e+00 4.759615172860946776e-09
8.828828828828829245e+00 5.010043102590109660e-09
8.933933933933934313e+00 5.272737129483461656e-09
9.039039039039039380e+00 5.548247350692325076e-09
9.144144144144144448e+00 5.837145847486127571e-09
9.249249249249249516e+00 6.140027428727078091e-09
9.354354354354354584e+00 6.457510393003286264e-09
9.459459459459459651e+00 6.790237309582171349e-09
9.564564564564564719e+00 7.138875818331302963e-09
9.669669669669669787e+00 7.504119448737647695e-09
9.774774774774774855e+00 7.886688458139505731e-09
9.879879879879879923e+00 8.287330689267552799e-09
9.984984984984984990e+00 8.706822447172253590e-09
1.009009009009009006e+01 9.145969395594834573e-09
1.019519519519519513e+01 9.605607472818005392e-09
1.030030030030030019e+01 1.008660382701027830e-08
1.040540540540540526e+01 1.058985777105413815e-08
1.051051051051051033e+01 1.111630175682392687e-08
1.061561561561561540e+01 1.166690236885323187e-08
1.072072072072072046e+01 1.224266133730503539e-08
1.082582582582582553e+01 1.284461657012904273e-08
1.093093093093093060e+01 1.347384320426165277e-08
1.103603603603603567e+01 1.413145467569294396e-08
1.114114114114114074e+01 1.481860380819339236e-08
1.124624624624624758e+01 1.553648392045952632e-08
1.135135135135135265e+01 1.628632995140316253e-08
1.145645645645645772e+01 1.706941960327309439e-08
1.156156156156156278e+01 1.788707450226124268e-08
1.166666666666666785e+01 1.874066137620592481e-08
1.177177177177177292e+01 1.963159324896613697e-08
1.187687687687687799e+01 2.056133065099911338e-08
1.198198198198198305e+01 2.153138284563117593e-08
1.208708708708708812e+01 2.254330907046794784e-08
1.219219219219219319e+01 2.359871979334539329e-08
1.229729729729729826e+01 2.469927798217668073e-08
1.240240240240240333e+01 2.584670038800246674e-08
1.250750750750750839e+01 2.704275884050293366e-08
1.261261261261261346e+01 2.828928155518026721e-08
1.271771771771771853e+01 2.958815445136929866e-08
1.282282282282282360e+01 3.094132248018111399e-08
1.292792792792792866e+01 3.235079096143045982e-08
1.303303303303303373e+01 3.381862692854392023e-08
1.313813813813813880e+01 3.534696048038979210e-08
1.324324324324324387e+01 3.693798613891338858e-08
1.334834834834834894e+01 3.859396421140312798e-08
1.345345345345345400e+01 4.031722215615519005e-08
1.355855855855855907e+01 4.211015595024361176e-08
1.366366366366366414e+01 4.397523145804297177e-08
1.376876876876876921e+01 4.591498579908774218e-08
1.387387387387387427e+01 4.793202871379194917e-08
1.397897897897897934e+01 5.002904392548911061e-08
1.408408408408408441e+01 5.220879049718887854e-08
1.418918918918918948e+01 5.447410418138247265e-08
1.429429429429429455e+01 5.682789876116470922e-08
1.439939939939939961e+01 5.927316738087644570e-08
1.450450450450450468e+01 6.181298386440459069e-08
1.460960960960960975e+01 6.445050401921208360e-08
1.471471471471471482e+01 6.718896692410434549e-08
1.481981981981981988e+01 7.003169619867501594e-08
1.492492492492492495e+01 7.298210125230544633e-08
1.503003003003003002e+01 7.604367851052952045e-08
1.513513513513513509e+01 7.922001261650883562e-08
1.524024024024024015e+01 8.251477760530118543e-08
1.534534534534534522e+01 8.593173804853866121e-08
1.545045045045045029e+01 8.947475016706941896e-08
