# radius_AU intensity_Jy_per_sr
2.133633633633633764e+01 1.955118922895138274e-05
2.144144144144144093e+01 1.950664521837243621e-05
2.154654654654654777e+01 1.945884359963106773e-05
2.165165165165165106e+01 1.940780883609105625e-05
2.175675675675675791e+01 1.935356700099789991e-05
2.186186186186186120e+01 1.929614575528070149e-05
2.196696696696696804e+01 1.923557432404593686e-05
2.207207207207207134e+01 1.917188347179119744e-05
2.217717717717717818e+01 1.910510547636821052e-05
2.228228228228228147e+01 1.903527410172606104e-05
2.238738738738738832e+01 1.896242456946679181e-05
2.249249249249249516e+01 1.888659352924691463e-05
2.259759759759759845e+01 1.880781902805971301e-05
2.270270270270270530e+01 1.872614047843422364e-05
2.280780780780780859e+01 1.864159862558828465e-05
2.291291291291291543e+01 1.855423551357373663e-05
2.301801801801801872e+01 1.846409445045334977e-05
2.312312312312312557e+01 1.837121997254962993e-05
2.322822822822822886e+01 1.827565780780695065e-05
2.333333333333333570e+01 1.817745483830902716e-05
2.343843843843843899e+01 1.807665906199478907e-05
2.354354354354354584e+01 1.797331955361632111e-05
2.364864864864864913e+01 1.786748642498326329e-05
2.375375375375375597e+01 1.775921078453868531e-05
2.385885885885885926e+01 1.764854469631199190e-05
2.396396396396396611e+01 1.753554113829490385e-05
2.406906906906906940e+01 1.742025396028698976e-05
2.417417417417417624e+01 1.730273784125754195e-05
2.427927927927927954e+01 1.718304824627095944e-05
2.438438438438438638e+01 1.706124138302284797e-05
2.448948948948948967e+01 1.693737415803449488e-05
2.459459459459459651e+01 1.681150413255307446e-05
2.469969969969969981e+01 1.668368947820537011e-05
2.480480480480480665e+01 1.655398893245239300e-05
2.490990990990990994e+01 1.642246175389245632e-05
2.501501501501501679e+01 1.628916767745985439e-05
2.512012012012012008e+01 1.615416686956628245e-05
2.522522522522522692e+01 1.601751988323158027e-05
2.533033033033033021e+01 1.587928761325032239e-05
2.543543543543543706e+01 1.573953125144001816e-05
2.554054054054054035e+01 1.559831224201651921e-05
2.564564564564564719e+01 1.545569223714143565e-05
2.575075075075075048e+01 1.531173305268595895e-05
2.585585585585585733e+01 1.516649662425466978e-05
2.596096096096096062e+01 1.502004496351237354e-05
2.606606606606606746e+01 1.487244011485604256e-05
2.617117117117117076e+01 1.472374411247335768e-05
2.627627627627627760e+01 1.457401893782825943e-05
2.638138138138138089e+01 1.442332647761322798e-05
2.648648648648648773e+01 1.427172848220681311e-05
2.659159159159159103e+01 1.411928652467424786e-05
2.669669669669669787e+01 1.396606196034755802e-05
2.680180180180180116e+01 1.381211588702091917e-05
2.690690690690690801e+01 1.365750910579549818e-05
2.701201201201201485e+01 1.350230208260721846e-05
2.711711711711711814e+01 1.334655491046942604e-05
2.722222222222222499e+01 1.319032727246133097e-05
2.732732732732732828e+01 1.303367840549200390e-05
2.743243243243243512e+01 1.287666706486804260e-05
2.753753753753753841e+01 1.271935148969223707e-05
2.764264264264264526e+01 1.256178936911874092e-05
2.774774774774774855e+01 1.240403780948937370e-05
2.785285285285285539e+01 1.224615330237394129e-05
2.795795795795795868e+01 1.208819169353639376e-05
2.806306306306306553e+01 1.193020815284700718e-05
2.816816816816816882e+01 1.177225714515965619e-05
2.827327327327327566e+01 1.161439240217149230e-05
2.837837837837837895e+01 1.145666689528137399e-05
2.848348348348348580e+01 1.129913280946149220e-05
2.858858858858858909e+01 1.114184151815572175e-05
2.869369369369369593e+01 1.098484355921636397e-05
2.879879879879879923e+01 1.082818861188991083e-05
2.890390390390390607e+01 1.067192547486075332e-05
2.900900900900900936e+01 1.051610204536065530e-05
2.911411411411411621e+01 1.036076529935009691e-05
2.921921921921921950e+01 1.020596127277657961e-05
2.932432432432432634e+01 1.005173504391324551e-05
2.942942942942942963e+01 9.898130716780191224e-06
2.953453453453453648e+01 9.745191405649172346e-06
2.963963963963963977e+01 9.592959220631392100e-06
2.974474474474474661e+01 9.441475254346512244e-06
2.984984984984984990e+01 9.290779569669994540e-06
2.995495495495495675e+01 9.140911188554400369e-06
3.006006006006006004e+01 8.991908081919291874e-06
3.016516516516516688e+01 8.843807160602946494e-06
3.027027027027027017e+01 8.696644267368163346e-06
3.037537537537537702e+01 8.550454169953103283e-06
3.048048048048048031e+01 8.405270555157154085e-06
3.058558558558558715e+01 8.261126023950599286e-06
3.069069069069069045e+01 8.118052087596003494e-06
3.079579579579579729e+01 7.976079164767988655e-06
3.090090090090090058e+01 7.835236579657399832e-06
3.100600600600600742e+01 7.695552561044568152e-06
3.111111111111111072e+01 7.557054242325872909e-06
3.121621621621621756e+01 7.419767662476569849e-06
3.132132132132132085e+01 7.283717767932351190e-06
3.142642642642642770e+01 7.148928415371044178e-06
3.153153153153153454e+01 7.015422375375362811e-06
3.163663663663663783e+01 6.883221336956718538e-06
3.174174174174174468e+01 6.752345912919515486e-06
3.184684684684684797e+01 6.622815646044839955e-06
3.195195195195195481e+01 6.494649016071571289e-06
3.205705705705705810e+01 6.367863447452820124e-06
3.216216216216216139e+01 6.242475317864653864e-06
3.226726726726727179e+01 6.118499967443981996e-06
3.237237237237237508e+01 5.995951708731849604e-06
3.247747747747747837e+01 5.874843837297974913e-06
3.258258258258258167e+01 5.755188643022261681e-06
3.268768768768769206e+01 5.636997422008434493e-06
3.279279279279279535e+01 5.520280489104922140e-06
3.289789789789789864e+01 5.405047191007647547e-06
3.300300300300300194e+01 5.291305919919527570e-06
3.310810810810811233e+01 5.179064127741014165e-06
3.321321321321321562e+01 5.068328340766148212e-06
3.331831831831831892e+01 4.959104174858338915e-06
3.342342342342342221e+01 4.851396351080231639e-06
3.352852852852853260e+01 4.745208711751917766e-06
3.363363363363363590e+01 4.640544236911806227e-06
3.373873873873873919e+01 4.537405061154501775e-06
3.384384384384384248e+01 4.435792490820303576e-06
3.394894894894895288e+01 4.335707021510874162e-06
3.405405405405405617e+01 4.237148355905954910e-06
3.415915915915915946e+01 4.140115421856066028e-06
3.426426426426426275e+01 4.044606390726550013e-06
3.436936936936937315e+01 3.950618695968383624e-06
3.447447447447447644e+01 3.858149051891610293e-06
3.457957957957957973e+01 3.767193472617430421e-06
3.468468468468468302e+01 3.677747291185508349e-06
3.478978978978979342e+01 3.589805178793222069e-06
3.489489489489489671e+01 3.503361164144118354e-06
3.500000000000000000e+01 3.418408652883117612e-06
3.510510510510510329e+01 3.334940447096592577e-06
3.521021021021021369e+01 3.252948764855747737e-06
3.531531531531531698e+01 3.172425259782313430e-06
3.542042042042042027e+01 3.093361040615909864e-06
3.552552552552552356e+01 3.015746690763142750e-06
3.563063063063063396e+01 2.939572287808805651e-06
3.573573573573573725e+01 2.864827422970237519e-06
3.584084084084084054e+01 2.791501220476303627e-06
3.594594594594595094e+01 2.719582356853168564e-06
3.605105105105105423e+01 2.649059080099494584e-06
3.615615615615615752e+01 2.579919228734223764e-06
3.626126126126126081e+01 2.512150250700882507e-06
3.636636636636637121e+01 2.445739222112695529e-06
3.647147147147147450e+01 2.380672865823596881e-06
3.657657657657657779e+01 2.316937569810644851e-06
3.668168168168168108e+01 2.254519405354133629e-06
3.678678678678679148e+01 2.193404145002145681e-06
3.689189189189189477e+01 2.133577280307017631e-06
3.699699699699699806e+01 2.075024039321661286e-06
3.710210210210210136e+01 2.017729403844493762e-06
3.720720720720721175e+01 1.961678126402118574e-06
3.731231231231231504e+01 1.906854746959687551e-06
3.741741741741741833e+01 1.853243609349325075e-06
3.752252252252252163e+01 1.800828877407751088e-06
3.762762762762763202e+01 1.749594550814687803e-06
3.773273273273273531e+01 1.699524480624352075e-06
3.783783783783783861e+01 1.650602384482782193e-06
3.794294294294294190e+01 1.602811861524492401e-06
3.804804804804805229e+01 1.556136406942360943e-06
3.815315315315315559e+01 1.510559426225336152e-06
3.825825825825825888e+01 1.466064249058993351e-06
3.836336336336336217e+01 1.422634142884640275e-06
3.846846846846847257e+01 1.380252326113093518e-06
3.857357357357357586e+01 1.338901980989841207e-06
3.867867867867867915e+01 1.298566266108763657e-06
3.878378378378378244e+01 1.259228328572159960e-06
3.888888888888889284e+01 1.220871315795241811e-06
3.899399399399399613e+01 1.183478386953787397e-06
3.909909909909909942e+01 1.147032724074056835e-06
3.920420420420420271e+01 1.111517542764610044e-06
3.930930930930931311e+01 1.076916102590002261e-06
3.941441441441441640e+01 1.043211717086851652e-06
3.951951951951951969e+01 1.010387763423092396e-06
3.962462462462462298e+01 9.784276917017288878e-07
3.972972972972973338e+01 9.473150339106918375e-07
3.983483483483483667e+01 9.170334125208428248e-07
3.993993993993993996e+01 8.875665487344484754e-07
4.004504504504504325e+01 8.588982703868921646e-07
4.015015015015015365e+01 8.310125195046076561e-07
4.025525525525525694e+01 8.038933595226132828e-07
4.036036036036036023e+01 7.775249821652559791e-07
4.046546546546547063e+01 7.518917139941256829e-07
4.057057057057057392e+01 7.269780226273133289e-07
4.067567567567567721e+01 7.027685226344446424e-07
4.078078078078078050e+01 6.792479811122072809e-07
4.088588588588589090e+01 6.564013229452526703e-07
4.099099099099099419e+01 6.342136357576114837e-07
4.109609609609609748e+01 6.126701745599157662e-07
4.120120120120120077e+01 5.917563660979561833e-07
4.130630630630631117e+01 5.714578129082221976e-07
4.141141141141141446e+01 5.517602970862639836e-07
4.151651651651651775e+01 5.326497837738221447e-07
4.162162162162162105e+01 5.141124243708506592e-07
4.172672672672673144e+01 4.961345594786250761e-07
4.183183183183183473e+01 4.787027215802689092e-07
4.193693693693693803e+01 4.618036374650909457e-07
4.204204204204204132e+01 4.454242304032466237e-07
4.214714714714715171e+01 4.295516220772692431e-07
4.225225225225225500e+01 4.141731342770947010e-07
4.235735735735735830e+01 3.992762903652348905e-07
4.246246246246246159e+01 3.848488165188132933e-07
4.256756756756757198e+01 3.708786427551776176e-07
4.267267267267267528e+01 3.573539037478368431e-07
4.277777777777777857e+01 3.442629394394573234e-07
4.288288288288288186e+01 3.315942954586795998e-07
4.298798798798799226e+01 3.193367233474663322e-07
4.309309309309309555e+01 3.074791806057093309e-07
4.319819819819819884e+01 2.960108305597520434e-07
4.330330330330330213e+01 2.849210420614938583e-07
4.340840840840841253e+01 2.741993890246532784e-07
4.351351351351351582e+01 2.638356498047476909e-07
4.361861861861861911e+01 2.538198064292598501e-07
